episode,steps,reward_0,reward_1,reward_2,reward_3,loss_0,loss_1,loss_2,loss_3,eps_greedy_0,eps_greedy_1,eps_greedy_2,eps_greedy_3,collisions_0,collisions_1,collisions_2,collisions_3
0,1000,-2.3206923064046947,-2.3206923064046947,-2.3206923064046947,-0.17576847089352443,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0
1,1000,-1.1876352512801958,-1.1876352512801958,-1.1876352512801958,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2,1000,-2.9330424367874275,-2.9330424367874275,-2.9330424367874275,-0.5529710884808253,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
3,1000,-1.4664193339081852,-1.4664193339081852,-1.4664193339081852,-0.3175665757347226,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,2.0,3.0
4,1000,-0.09132702264716616,-0.09132702264716616,-0.09132702264716616,-0.9374508524501884,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,5.0,0.0,4.0,9.0
5,1000,-1.0273483786638373,-1.0273483786638373,-1.0273483786638373,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6,1000,-1.0412496833873564,-1.0412496833873564,-1.0412496833873564,-0.0008893843939953394,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
7,1000,-1.6081478767523327,-1.6081478767523327,-1.6081478767523327,-0.029310587140180647,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
8,1000,-1.617691586283897,-1.617691586283897,-1.617691586283897,-0.6326214920998511,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,6.0,0.0,0.0,6.0
9,1000,-0.8148782124579191,-0.8148782124579191,-0.8148782124579191,-0.2645580922321052,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,2.0,2.0
10,1000,-1.537515464058853,-1.537515464058853,-1.537515464058853,-0.0017825476296763475,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
11,1000,-2.1396928036473417,-2.1396928036473417,-2.1396928036473417,-1.0808238458823998,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,6.0,4.0,0.0,10.0
12,1000,-1.7130913889125978,-1.7130913889125978,-1.7130913889125978,-0.8635083753787957,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4.0,0.0,0.0,4.0
13,1000,-1.4810124630481432,-1.4810124630481432,-1.4810124630481432,-0.0003416951276336422,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
14,1000,-1.1849434834969947,-1.1849434834969947,-1.1849434834969947,-0.010427759891704018,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
15,1000,-1.06067257007549,-1.06067257007549,-1.06067257007549,-0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,2.0,0.0,2.0
16,1000,-1.0645726103937925,-1.0645726103937925,-1.0645726103937925,-0.028305716857093252,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
17,1000,-0.5703509393560802,-0.5703509393560802,-0.5703509393560802,-0.4,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,4.0,0.0,4.0
18,1000,-1.3181567180990887,-1.3181567180990887,-1.3181567180990887,-0.003248614287289478,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
19,1000,-0.8751548026067902,-0.8751548026067902,-0.8751548026067902,-0.10636991031268933,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0
20,1000,-0.9394549953352361,-0.9394549953352361,-0.9394549953352361,-0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.0,2.0
21,1000,0.04010184662219188,0.04010184662219188,0.04010184662219188,-1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,10.0,10.0
22,1000,-2.8814291284152356,-2.8814291284152356,-2.8814291284152356,-0.20100788963797253,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.0,2.0
23,1000,-0.9635492939308551,-0.9635492939308551,-0.9635492939308551,-0.0006232760394811487,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
24,1000,-2.4020433492119255,-2.4020433492119255,-2.4020433492119255,-0.2306448482884457,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,2.0,2.0
25,1000,-3.137918445744012,-3.137918445744012,-3.137918445744012,-0.4458879438387352,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4.0,0.0,0.0,4.0
26,1000,-2.0141748460379643,-2.0141748460379643,-2.0141748460379643,-0.07916786224981039,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
27,1000,-2.4412318339393972,-2.4412318339393972,-2.4412318339393972,-0.5715095244133899,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
28,1000,-0.9412583384732454,-0.9412583384732454,-0.9412583384732454,-0.20137678332093728,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,2.0,2.0
29,1000,-1.0771699192264406,-1.0771699192264406,-1.0771699192264406,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
30,1000,-0.9043794082753631,-0.9043794082753631,-0.9043794082753631,-0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0
31,1000,-0.9053415086802972,-0.9053415086802972,-0.9053415086802972,-0.200553061946281,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.0,2.0
32,1000,-0.9779598153807718,-0.9779598153807718,-0.9779598153807718,-0.20162836310234603,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,2.0,2.0
33,1000,-1.0562490255187116,-1.0562490255187116,-1.0562490255187116,-0.08192706979699124,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
34,1000,-1.1622016685979308,-1.1622016685979308,-1.1622016685979308,-0.09274657843811025,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
35,1000,-1.3341426433695764,-1.3341426433695764,-1.3341426433695764,-0.15820080696457833,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
36,1000,-1.534116068902654,-1.534116068902654,-1.534116068902654,-0.1262774442708255,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0
37,1000,-2.769958427265243,-2.769958427265243,-2.769958427265243,-0.6715127230509694,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,3.0,0.0,3.0
38,1000,-1.9353428763229605,-1.9353428763229605,-1.9353428763229605,-0.43498736717072845,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4.0,0.0,0.0,4.0
39,1000,-0.25731138858862485,-0.25731138858862485,-0.25731138858862485,-1.0884513504165372,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,10.0,10.0
40,1000,-1.177697039795239,-1.177697039795239,-1.177697039795239,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
41,1000,-1.3525257281664205,-1.3525257281664205,-1.3525257281664205,-0.04615651292078529,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
42,1000,-3.4015221669082587,-3.4015221669082587,-3.4015221669082587,-0.012063142664907114,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
43,1000,-1.0608583879037496,-1.0608583879037496,-1.0608583879037496,-0.07552093303659684,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
44,1000,-1.0546865765374078,-1.0546865765374078,-1.0546865765374078,-0.3881203567301941,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.0,2.0
45,1000,-1.935178619319608,-1.935178619319608,-1.935178619319608,-0.1207792131359265,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
46,1000,-1.1000720079905886,-1.1000720079905886,-1.1000720079905886,-0.018039620189059625,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
47,1000,-1.9913978832496857,-1.9913978832496857,-1.9913978832496857,-0.00120359935921322,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
48,1000,-0.7368431658548653,-0.7368431658548653,-0.7368431658548653,-0.20057735804724838,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,2.0,2.0
49,1000,-0.5743779067404617,-0.5743779067404617,-0.5743779067404617,-0.30176290565612124,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,3.0,3.0
50,1000,-2.503086004851928,-2.503086004851928,-2.503086004851928,-0.3956899334790826,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
51,1000,-3.3863692018187734,-3.3863692018187734,-3.3863692018187734,-0.0080568864767814,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
52,1000,-1.4496435842559319,-1.4496435842559319,-1.4496435842559319,-0.32330752742958935,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0
53,1000,-0.6309649673444104,-0.6309649673444104,-0.6309649673444104,-1.2450164822420529,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,10.0,0.0,1.0,11.0
54,1000,-1.775785797858476,-1.775785797858476,-1.775785797858476,-0.20344118746285683,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,2.0,0.0,2.0
55,1000,-0.8489672563382815,-0.8489672563382815,-0.8489672563382815,-0.10534206581857922,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0
56,1000,-1.2337747331764513,-1.2337747331764513,-1.2337747331764513,-0.3116891023528607,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0
57,1000,-0.9202407759706437,-0.9202407759706437,-0.9202407759706437,-0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0
58,1000,-0.925443938115548,-0.925443938115548,-0.925443938115548,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
59,1000,-2.803727389230879,-2.803727389230879,-2.803727389230879,-0.9473111761086317,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,8.0,0.0,0.0,8.0
60,1000,-3.818397391351585,-3.818397391351585,-3.818397391351585,-0.32068276796546863,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
61,1000,-0.8803441716768468,-0.8803441716768468,-0.8803441716768468,-0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0
62,1000,-0.8413492850084995,-0.8413492850084995,-0.8413492850084995,-0.020996295327664755,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
63,1000,-1.109866391328735,-1.109866391328735,-1.109866391328735,-0.4,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2.0,0.0,2.0,4.0
64,1000,-1.7138281404570384,-1.7138281404570384,-1.7138281404570384,-1.2783063040963967,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,11.0,0.0,0.0,11.0
65,1000,-1.1701863160315322,-1.1701863160315322,-1.1701863160315322,-0.17600265729653533,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0
66,1000,-1.3442058369588155,-1.3442058369588155,-1.3442058369588155,-0.0104483836646555,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
67,1000,-0.737804332119733,-0.737804332119733,-0.737804332119733,-0.6774989937604124,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,6.0,0.0,0.0,6.0
68,1000,-1.1059746812364266,-1.1059746812364266,-1.1059746812364266,-0.020123973766127793,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
69,1000,-1.6191040388486266,-1.6191040388486266,-1.6191040388486266,-0.16865702004698535,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
70,1000,-0.7912083983931034,-0.7912083983931034,-0.7912083983931034,-0.508871978114111,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,5.0,0.0,0.0,5.0
71,1000,-1.8004001989067335,-1.8004001989067335,-1.8004001989067335,-0.22848931455335308,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
72,1000,-0.5057742844705337,-0.5057742844705337,-0.5057742844705337,-0.5232256942672803,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,5.0,5.0
73,1000,-1.674730491687799,-1.674730491687799,-1.674730491687799,-0.6057453861693589,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,4.0,0.0,0.0,4.0
74,1000,-1.126968882359885,-1.126968882359885,-1.126968882359885,-0.16808848940039525,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0
75,1000,-1.096592852103142,-1.096592852103142,-1.096592852103142,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
76,1000,-0.7670680680130176,-0.7670680680130176,-0.7670680680130176,-0.7419709353452838,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,7.0,0.0,0.0,7.0
77,1000,-0.8209703083431467,-0.8209703083431467,-0.8209703083431467,-0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0
78,1000,-2.007359996057537,-2.007359996057537,-2.007359996057537,-0.26398126763202245,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,2.0,2.0
79,1000,-1.2212384112141905,-1.2212384112141905,-1.2212384112141905,-0.017567852422774113,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
80,1000,-0.9524458830523183,-0.9524458830523183,-0.9524458830523183,-0.2847929777431032,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.0,2.0
81,1000,-1.1187259615152174,-1.1187259615152174,-1.1187259615152174,-0.003429493395385115,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
82,1000,-2.7378434674202943,-2.7378434674202943,-2.7378434674202943,-0.5516475395085384,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,3.0,0.0,0.0,3.0
83,1000,-2.3616457416112775,-2.3616457416112775,-2.3616457416112775,-0.5649016833744716,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
84,1000,-3.189884475805945,-3.189884475805945,-3.189884475805945,-0.014879754010834278,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
85,1000,-4.043825157872998,-4.043825157872998,-4.043825157872998,-0.1398251892544168,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
86,1000,-0.8576548400669746,-0.8576548400669746,-0.8576548400669746,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
87,1000,-1.208792438435955,-1.208792438435955,-1.208792438435955,-0.20352188813252736,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.0,2.0
88,1000,-1.4895552878706064,-1.4895552878706064,-1.4895552878706064,-0.32137970074828354,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,2.0,2.0
89,1000,-1.1059475245952333,-1.1059475245952333,-1.1059475245952333,-0.1,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0
90,1000,-1.7846877473808478,-1.7846877473808478,-1.7846877473808478,-0.33302607585329397,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0
91,1000,0.4289781744566648,0.4289781744566648,0.4289781744566648,-1.3016668606335133,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,11.0,13.0
92,1000,-1.1703627224558377,-1.1703627224558377,-1.1703627224558377,-0.5342889295436344,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,3.0,3.0
93,1000,-2.1632743099259306,-2.1632743099259306,-2.1632743099259306,-0.21488036096007931,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.0,2.0
94,1000,-0.8867864750817646,-0.8867864750817646,-0.8867864750817646,-0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,2.0,2.0
95,1000,-2.276610174268968,-2.276610174268968,-2.276610174268968,-0.597938528679286,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0
96,1000,-2.5641215594552182,-2.5641215594552182,-2.5641215594552182,-0.10220511310173166,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
97,1000,-1.404299353519559,-1.404299353519559,-1.404299353519559,-0.023923112182519142,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
98,1000,-0.6881450657586407,-0.6881450657586407,-0.6881450657586407,-0.4,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,3.0,4.0
99,1000,-2.7647914339787936,-2.7647914339787936,-2.7647914339787936,-0.37071120936512997,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
100,1000,-0.9846616329385742,-0.9846616329385742,-0.9846616329385742,-0.0028213463769650514,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
